GEOG,TOT_POP,UND19,A20_34,A35_49,A50_64,A65_74,A75_84,OV85,MED_AGE,WHITE,HISP,BLACK,ASIAN,OTHER,POP_HH,POP_16OV,IN_LBFRC,EMP,UNEMP,NOT_IN_LBFRC,WORK_AT_HOME,TOT_COMM,DROVE_AL,CARPOOL,TRANSIT,WALK_BIKE,COMM_OTHER,AGG_TT,NO_VEH,ONE_VEH,TWO_VEH,THREEOM_VEH,POP_25OV,LT_HS,HS,SOME_COLL,ASSOC,BACH,GRAD_PROF,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,TOT_HH,OWN_OCC_HU,RENT_OCC_HU,VAC_HU,HU_TOT,HU_SNG_DET,HU_SNG_ATT,HU_2UN,HU_3_4UN,HU_GT_5UN,MED_ROOMS,HA_AFT2000,HA_70_00,HA_40_70,HA_BEF1940,MED_HA,BR_0_1,BR_2,BR_3,BR_4,BR_5,HV_LT_150K,HV_150_300K,HV_300_500K,HV_GT_500K,MED_HV,TOT_EMP_RES,RES_NAICS1_TYPE,RES_NAICS2_TYPE,RES_NAICS3_TYPE,RES_NAICS4_TYPE,RES_NAICS5_TYPE,RES_NAICS1_COUNT,RES_NAICS2_COUNT,RES_NAICS3_COUNT,RES_NAICS4_COUNT,RES_NAICS5_COUNT,TOT_EMP_WORK,WORK_NAICS1_TYPE,WORK_NAICS2_TYPE,WORK_NAICS3_TYPE,WORK_NAICS4_TYPE,WORK_NAICS5_TYPE,WORK_NAICS1_COUNT,WORK_NAICS2_COUNT,WORK_NAICS3_COUNT,WORK_NAICS4_COUNT,WORK_NAICS5_COUNT,RES_CITY1_TYPE,RES_CITY2_TYPE,RES_CITY3_TYPE,RES_CITY4_TYPE,RES_CITY5_TYPE,RES_CITY1_COUNT,RES_CITY2_COUNT,RES_CITY3_COUNT,RES_CITY4_COUNT,RES_CITY5_COUNT,WORK_CITY1_TYPE,WORK_CITY2_TYPE,WORK_CITY3_TYPE,WORK_CITY4_TYPE,WORK_CITY5_TYPE,WORK_CITY1_COUNT,WORK_CITY2_COUNT,WORK_CITY3_COUNT,WORK_CITY4_COUNT,WORK_CITY5_COUNT,MedIncFam_Hcost,MedIncFam_Tcost,MedIncFam_HTcost,Ret_Hcost,Ret_Tcost,Ret_HTcost,SPFam_Hcost,SPFam_Tcost,SPFam_HTcost,ModIncFam_Hcost,ModIncFam_Tcost,ModIncFam_HTcost,IDES_START_EMP,IDES_MID_EMP,IDES_CURR_EMP,AVG_VMT,RET_SALES,RES_EAV,CMRCL_EAV,IND_EAV,RAIL_EAV,FARM_EAV,MIN_EAV,TOT_EAV,WALKSCORE,OPEN_SPACE_PER_1000,TOT_ACRES,SF,Sfperc,MF,Mfperc,MIX,MIXperc,COMM,COMMperc,INST,INSTperc,IND,INDperc,TRANS,TRANSperc,AG,Agperc,OPEN,OPENperc,VACANT,VACperc,CT_1PHH,CT_2PHH,CT_3PHH,CT_4MPHH,CT_FAM_HH,CT_SP_WCHILD,CT_NONFAM_HH,HCUND20K,HCUND20K_LT20PCT,HCUND20K_20_29PCT,HCUND20K_30MPCT,HC20Kto49K,HC20Kto49K_LT20PCT,HC20Kto49K_20_29PCT,HC20Kto49K_30MPCT,HC50Kto75K,HC50Kto75K_LT20PCT,HC50Kto75K_20_29PCT,HC50Kto75K_30MPCT,HCOV75K,HCOV75K_LT20PCT,HCOV75K_20_29PCT,HCOV75K_30MPCT,NATIVE,FOR_BORN,POP_OV5,ONLY_ENGLISH,NOT_ENGLISH,LING_ISO,ENGLISH,SPANISH,SLAVIC,CHINESE,TAGALOG,ARABIC,KOREAN,OTHER_ASIAN,OTHER_EURO,OTHER_UNSPEC,2000_WHITE,2000_HISP,2000_BLACK,2000_ASIAN,2000_OTHER,2000_UND19,2000_A20_34,2000_A35_49,2000_A50_64,2000_OV65,2000_MED_AGE,2000_TOT_HH,2000_OWN_OCC_HU,2000_RENT_OCC_HU,2000_VAC_HU,2000_HU_TOT,2000_LT_HS,2000_HS,2000_SOME_COLL,2000_ASSOC,2000_BACH,2000_GRAD_PROF,2000_POP_25OV,Year
Douglas,20559,4152,6316,3743,3413,1476,949,510,34.28975132,2356,649,14460,2639,455,17914,17886,9861,8281,1580,8025,380,7559,3304,435,2928,819,73,N/A,3521,4668,1076,225,13695,1748,2635,2976,823,2879,2634,4438,1895,1478,770,495,414,29398.2808,9490,1664,7826,1075,10565,754,646,304,553,8293,3.935814951,1054,3099,4947,1465,,5167,3048,1644,589,117,546,546,526,46,229200,6667,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1146,883,627,573,570,6708,Education,Health Care,Real Estate,Administration,Accommodation and Food Service,2413,1315,652,608,429,Outside of Chicago,The Loop,Near North Side,Near West Side,Douglas,1778,1693,641,542,197,Outside of Chicago,Douglas,Auburn Gresham,South Shore,Greater Grand Crossing,2339,197,183,174,160,,,,,,,,,,,,,,,,11547,,,,,,,,,,8.483252913,1052.858844,70.36791504,0.066835089,166.3824515,0.15802921,3.524405597,0.003347463,51.13749828,0.048570137,230.8935119,0.219301489,0.811398638,0.000770662,333.1177392,0.316393542,n/a,n/a,74.65551548,0.070907431,121.9684084,0.115844977,5180,2557,1031,722,3315,1084,6175,3306,193,579,2534,2504,227,649,1628,1464,578,681,205,1629,1103,389,137,16311,3499,19810,15950,3860,1772,15950,526,64,1307,50,113,88,395,1104,213,1745,295,22635,1390,405,,,,,,,,,,,,,,,,,,,2018
Dunning,43444,10152,8785,8509,9174,3866,1938,1020,40.33241947,27862,12559,895,1755,373,43261,35236,23573,22193,1311,11663,281,21617,16637,1840,2312,555,273,N/A,1352,6070,5944,2170,31120,4142,10060,6819,2617,5117,2365,2915,3612,2633,2463,2654,1259,61589.59538,15536,11449,4087,952,16488,10561,470,1169,1137,3074,5.825111059,835,3211,8463,3979,,1613,6381,5791,2087,616,1525,7794,1888,218,227975.6252,19324,Health Care,Retail Trade,Manufacturing,Education,Accommodation and Food Service,2424,2112,1927,1793,1502,6701,Health Care,Education,Administration,Retail Trade,Manufacturing,1739,1063,754,733,630,Outside of Chicago,The Loop,Near North Side,Near West Side,Dunning,9810,3044,771,678,554,Outside of Chicago,Dunning,Portage Park,Austin,Belmont Cragin,2883,554,225,193,171,,,,,,,,,,,,,,,,15422,,,,,,,,,,1.048829685,2378.213985,1011.558136,0.425343616,138.3641627,0.058179863,21.70580595,0.009126936,68.03152492,0.028606141,358.0088773,0.150536865,29.32479114,0.012330594,641.2899429,0.26965191,0.085958142,3.61E-05,73.33340998,0.030835497,36.5113759,0.015352435,4121,4661,2810,3944,10853,1228,4683,1933,13,98,1822,4309,681,967,2661,2628,1041,631,956,6299,4295,1445,559,27189,13552,40741,19034,21707,8749,19034,8732,9020,154,876,255,34,194,2297,145,34394,5441,234,1315,780,,,,,,,,,,,,,,,,,,,2018
East Garfield Park,20225,6430,5031,3571,3298,1071,601,224,30.35788025,1079,711,18147,80,208,19305,14913,7488,6119,1369,7425,273,5763,2813,238,2278,286,147,N/A,2987,2723,955,260,11862,2544,4005,2733,785,1205,591,3551,1466,703,618,388,199,24000,6925,1546,5379,1481,8406,971,365,2181,2520,2369,5.520106589,722,984,1161,5539,,1862,2479,2975,792,299,646,720,145,30,174702.381,7101,Health Care,Retail Trade,Administration,Education,Accommodation and Food Service,1303,843,814,661,625,3521,Health Care,Professional,Administration,Construction,Manufacturing,1247,656,424,279,163,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,2775,1091,498,479,222,Outside of Chicago,Austin,East Garfield Park,Humboldt Park,Logan Square,1427,159,109,92,87,,,,,,,,,,,,,,,,7995,,,,,,,,,,4.22344441,1236.988524,58.8350693,0.047563149,208.1052652,0.168235405,9.221605528,0.007454884,38.66357761,0.031256214,82.52456646,0.066714092,74.81390382,0.060480677,412.4637664,0.33344187,n/a,n/a,183.0512476,0.147981363,169.3095216,0.136872346,2467,1665,1077,1717,4235,1585,2690,2457,119,154,2185,1890,236,440,1214,698,288,306,104,1178,778,336,64,18249,336,18584,17852,733,189,17852,605,47,0,46,6,0,19,9,1,235,207,20296,25,118,,,,,,,,,,,,,,,,,,,2018
East Side,22982,7426,4751,4503,3979,1183,748,392,32.69010767,3929,18387,562,66,38,22976,17379,11240,9170,2050,6139,75,9021,6556,1067,1031,351,17,N/A,974,2597,2100,1157,13761,4174,4731,2508,621,1240,487,1786,2030,1148,947,669,249,42917.8273,6828,4712,2117,916,7744,4807,158,1626,906,249,6.069180935,102,478,4074,3089,,421,2356,3502,1188,277,3264,1312,95,37,121557.8008,7491,Manufacturing,Health Care,Education,Accommodation and Food Service,Retail Trade,1040,930,771,723,689,1425,Transportation,Administration,Retail Trade,Accommodation and Food Service,Construction,276,206,206,166,157,Outside of Chicago,The Loop,Near North Side,Near West Side,East Side,3275,1267,368,306,224,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,821,224,40,36,30,,,,,,,,,,,,,,,,18054,,,,,,,,,,7.507907813,1908.480789,465.4091111,0.24386366,80.89510598,0.042387173,11.95156023,0.006262342,58.42465405,0.030613174,99.84503438,0.0523165,112.3958631,0.058892845,739.7226814,0.387597657,n/a,n/a,209.7259625,0.109891576,130.1108161,0.068175072,1464,1475,1244,2644,5239,958,1589,1353,31,92,1230,2377,481,644,1253,1108,563,280,265,1856,1529,293,35,14951,6666,21617,6211,15405,5239,6211,14872,412,33,0,18,0,0,70,1,6951,16113,242,57,290,,,,,,,,,,,,,,,,,,,2018
Edgewater,55430,8155,16364,12013,11269,4434,2049,1146,38.47845015,30615,9081,7592,6430,1712,52325,49792,34046,31680,2366,15746,1968,29297,11045,1843,13580,2190,639,N/A,11243,12907,4001,516,43577,4102,6425,6974,2278,13743,10055,8023,6735,5020,3033,3117,2739,47636.41425,28667,10262,18405,3684,32351,2016,410,1827,2690,25382,4.325389885,1021,6583,10934,13813,,17752,9704,3668,792,435,2460,4104,2121,1474,238680.2575,26824,Health Care,Professional,Education,Accommodation and Food Service,Retail Trade,3571,3471,3006,2882,2352,12608,Education,Health Care,Accommodation and Food Service,Retail Trade,Other Service,3816,3374,1676,1119,603,Outside of Chicago,The Loop,Near North Side,Near West Side,Edgewater,8639,5652,3381,1503,1153,Outside of Chicago,Edgewater,Rogers Park,West Ridge,Uptown,5005,1153,626,558,497,,,,,,,,,,,,,,,,7649,,,,,,,,,,1.748266343,1111.664635,148.2653715,0.133372392,355.0674219,0.319401563,24.59957346,0.022128592,77.29219217,0.069528336,61.80290234,0.055594916,6.56974237,0.005909824,348.5721282,0.313558709,n/a,n/a,81.26459945,0.073101722,8.23070339,0.007403945,15039,8951,2524,2153,10392,1111,18275,5841,250,733,4858,8128,439,2538,5151,5020,1379,2221,1420,8889,6182,1859,848,37387,15883,53270,33831,19439,8268,33831,7262,3037,588,908,282,150,1495,3726,1991,29782,12176,10564,7172,2504,,,,,,,,,,,,,,,,,,,2018
Edison Park,11008,2399,2211,2487,2141,803,691,275,41.62298387,9760,749,148,236,114,11001,8954,6366,6105,261,2588,183,5815,4527,267,679,230,112,N/A,320,1496,2062,586,8169,349,1695,1678,598,2369,1481,412,810,562,739,669,1273,90172.53045,4465,3409,1055,399,4863,3215,76,144,248,1181,6.009298999,136,591,3083,1053,,546,1532,1619,983,184,317,1102,1546,440,336143.0396,6114,Public Administration,Education,Health Care,Retail Trade,Professional,856,842,677,517,484,2606,Administration,Professional,Accommodation and Food Service,Health Care,Real Estate,891,422,211,205,128,Outside of Chicago,The Loop,Near North Side,Near West Side,O'Hare,2956,1524,250,166,163,Outside of Chicago,Edison Park,Norwood Park,Austin,Dunning,1460,134,104,57,54,,,,,,,,,,,,,,,,14890,,,,,,,,,,2.053389701,726.2698244,379.0417535,0.52190211,40.01631175,0.055098409,5.992233786,0.008250699,23.77620074,0.032737421,10.74289189,0.014791874,9.081289906,0.012504017,236.621007,0.325803164,n/a,n/a,20.23249875,0.027858102,0.765636974,0.001054205,1273,1675,535,982,2957,134,1508,217,0,21,196,895,177,253,465,558,246,96,216,2670,1927,636,107,9235,1266,10501,8579,1922,587,8579,565,513,5,10,11,18,132,635,33,10572,463,19,200,74,,,,,,,,,,,,,,,,,,,2018
Englewood,26020,8303,6249,3883,4497,1734,962,392,31.08032537,204,756,24690,62,308,25883,19286,10149,6564,3585,9137,347,5972,2833,336,2566,153,84,N/A,4460,3489,1052,190,15607,3835,5624,3867,1125,873,283,5360,2258,775,418,304,76,20111.89258,9191,2363,6828,5045,14236,3211,324,4955,2225,3485,5.71258779,701,2084,4124,7327,,2560,4698,4792,1516,670,1679,552,84,44,101449.7423,7241,Health Care,Administration,Retail Trade,Accommodation and Food Service,Transportation,1403,952,938,740,540,1959,Health Care,Retail Trade,Education,Other Service,Accommodation and Food Service,1150,326,168,102,59,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,3015,957,441,397,130,Outside of Chicago,Englewood,Auburn Gresham,Chicago Lawn,Greater Grand Crossing,712,108,87,60,59,,,,,,,,,,,,,,,,7668,,,,,,,,,,2.325856734,1966.306763,237.9332692,0.121005162,305.8259428,0.15553318,13.53014058,0.006880992,38.24085596,0.019448062,169.9385677,0.086425257,13.49783213,0.006864561,720.5653543,0.366456225,n/a,n/a,43.64886924,0.022198403,423.1259312,0.215188158,3568,1971,1476,2176,5344,2039,3847,3973,208,233,3532,3002,517,659,1826,770,385,285,100,798,733,52,13,23008,618,23626,22797,829,303,22797,590,7,5,8,0,0,34,46,139,178,347,39352,27,318,,,,,,,,,,,,,,,,,,,2018
Forest Glen,18651,5085,2678,4039,3831,1438,1071,509,41.37323944,13669,2440,169,1976,397,18627,14184,9763,9265,498,4421,397,8667,6782,670,1050,121,44,N/A,320,2137,3124,1099,12796,615,1876,1991,559,4461,3293,701,856,753,755,1482,2131,108145.7346,6678,6023,656,465,7144,5909,330,287,238,380,7.028483185,297,632,4537,1678,,303,1519,3710,1214,397,296,1048,2879,1769,411979.9139,8533,Education,Health Care,Public Administration,Professional,Retail Trade,1157,1132,860,813,723,4743,Health Care,Professional,Retail Trade,Wholesale Trade,Finance,1832,617,421,359,233,Outside of Chicago,The Loop,Near North Side,Near West Side,Forest Glen,3325,2236,491,313,248,Outside of Chicago,Forest Glen,West Ridge,Portage Park,Albany Park,2696,248,139,114,105,,,,,,,,,,,,,,,,17034,,,,,,,,,,2.698422645,2046.163795,822.3349002,0.401891042,33.14679539,0.016199483,6.030397212,0.002947172,47.55156325,0.023239373,42.83604649,0.020934808,10.39096141,0.005078265,605.4751519,0.29590747,n/a,n/a,471.4327181,0.230398328,6.965260763,0.003404058,1488,2174,1002,2015,4977,352,1701,402,0,7,395,1016,95,287,634,726,284,106,335,4368,2733,1186,449,14186,3226,17412,12125,5287,1469,12125,1577,763,125,523,132,196,348,1276,346,14793,1389,71,1586,326,,,,,,,,,,,,,,,,,,,2018
Fuller Park,2457,502,446,364,538,391,153,64,47.11805556,123,141,2175,16,2,2451,2013,968,697,271,1045,3,665,331,72,224,37,1,N/A,641,271,145,29,1780,472,648,318,143,122,77,603,281,86,52,61,6,22456.14035,1089,384,710,422,1515,308,83,457,192,457,5.216981132,44,213,593,665,,463,471,448,66,68,275,80,16,11,109267.2414,849,Health Care,Retail Trade,Administration,Accommodation and Food Service,Education,170,107,96,79,69,1480,Manufacturing,Wholesale Trade,Retail Trade,Health Care,Accommodation and Food Service,527,280,235,191,142,Outside of Chicago,The Loop,Near West Side,Near North Side,Near South Side,304,110,58,54,19,Outside of Chicago,Auburn Gresham,Austin,New City,Chicago Lawn,662,52,44,38,33,,,,,,,,,,,,,,,,7070,,,,,,,,,,3.236460406,457.2246308,27.78755718,0.06077441,27.83046104,0.060868245,3.915838232,0.008564364,16.70779975,0.036541775,20.0906594,0.043940457,34.17512093,0.074744707,262.7924242,0.574755616,n/a,n/a,11.25368288,0.024613029,52.67108712,0.115197397,539,240,148,162,522,90,568,476,27,117,332,395,30,112,253,82,32,45,5,120,106,7,7,2200,114,2314,2182,132,49,2182,77,26,6,0,1,0,0,16,6,18,116,3225,6,55,,,,,,,,,,,,,,,,,,,2018
Gage Park,40926,14756,10039,8526,4966,1800,600,239,28.26902174,1432,37904,1352,191,47,40874,28884,19487,16456,3031,9397,292,15541,8558,3235,3018,701,29,N/A,1383,3284,3140,1913,22869,9616,8262,2586,1082,945,378,2698,3451,1836,983,606,146,40195.08671,9720,5298,4422,948,10668,5012,123,2582,2244,700,5.678063773,48,1171,5278,4171,,1344,3635,3474,1311,904,3304,1862,87,31,124482.0442,11117,Manufacturing,Administration,Accommodation and Food Service,Retail Trade,Health Care,1708,1388,1223,1213,1066,4385,Wholesale Trade,Administration,Retail Trade,Accommodation and Food Service,Other Service,1196,1180,671,286,234,Outside of Chicago,The Loop,Near West Side,Near North Side,West Town,4824,1164,596,593,317,Outside of Chicago,Gage Park,Chicago Lawn,Ashburn,New City,1937,281,156,106,97,,,,,,,,,,,,,,,,16901,,,,,,,,,,0.89778021,1406.90761,408.1234035,0.290085433,155.7799188,0.110725052,18.57284357,0.013201182,63.74817877,0.045310849,96.28750946,0.068439113,135.3451927,0.096200484,482.2241373,0.342754659,n/a,n/a,25.59949451,0.018195576,21.22693112,0.015087651,1587,1284,1360,5489,7742,1703,1978,1768,12,84,1672,4228,517,1209,2502,1829,690,587,552,1724,1244,419,61,20504,17133,37637,4810,32827,14519,4810,32458,83,72,37,32,42,2,75,26,4811,31079,2743,161,399,,,,,,,,,,,,,,,,,,,2018
Garfield Ridge,35470,9143,6423,7688,6896,2891,1632,797,38.93219724,16196,17229,1431,305,309,35218,28121,18017,16204,1813,10104,186,15542,11592,1378,2185,362,25,N/A,1074,4162,4826,1971,24296,4634,7342,5065,2009,3501,1745,2075,2699,2277,1408,2183,1366,63129.2517,12008,9716,2317,600,12633,10307,174,733,637,732,5.954884504,403,2079,8919,1232,,790,2659,6488,1926,770,2013,6676,912,90,197472.0026,15315,Education,Manufacturing,Retail Trade,Public Administration,Health Care,1731,1609,1533,1513,1451,12634,Transportation,Administration,Accommodation and Food Service,Retail Trade,Manufacturing,5443,1511,1170,1129,737,Outside of Chicago,The Loop,Near North Side,Near West Side,Garfield Ridge,6524,3402,798,701,582,Outside of Chicago,Garfield Ridge,Clearing,Austin,Ashburn,7487,582,281,173,164,,,,,,,,,,,,,,,,17432,,,,,,,,,,1.765647941,2706.399862,1032.127624,0.381365532,95.91036003,0.035438355,15.27734459,0.005644896,100.9106565,0.037285938,55.41493921,0.020475518,114.2368706,0.042209901,1206.513278,0.445800081,n/a,n/a,44.18728768,0.016326962,41.82150094,0.015452817,3035,3309,1973,3691,8601,1084,3407,1343,52,108,1183,3290,1036,731,1523,2178,965,640,573,4969,3593,1102,274,25138,8159,33297,18024,15273,5793,18024,11721,2856,138,45,70,17,1,421,4,24878,5948,4419,328,528,,,,,,,,,,,,,,,,,,,2018
Grand Boulevard,22056,6025,4319,4948,3559,1863,974,368,36.96438828,570,373,20503,89,521,21771,17138,10296,8252,2044,6842,334,7691,4233,494,2576,261,127,N/A,3974,4306,1220,343,14405,2177,3232,4050,1001,2028,1917,4525,1890,1343,796,754,535,29686.76123,9843,2194,7848,2202,12244,1088,662,706,2948,6827,5.02726653,3250,2747,2419,3828,,3546,3419,3803,1102,374,685,1108,329,72,194917.5824,8011,Health Care,Education,Administration,Retail Trade,Accommodation and Food Service,1447,1030,819,712,688,4112,Education,Health Care,Management,Retail Trade,Accommodation and Food Service,1438,1062,512,278,244,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2008,1979,735,588,184,Outside of Chicago,Grand Boulevard,South Shore,Roseland,Chatham,1423,154,149,128,106,,,,,,,,,,,,,,,,9140,,,,,,,,,,3.993456955,1113.23469,62.3469595,0.056005225,255.1584716,0.229204564,7.311707538,0.006567984,42.3507279,0.038042947,112.6449431,0.101187058,8.173339553,0.007341973,378.1351924,0.339672484,n/a,n/a,22.50879661,0.020219273,224.6045517,0.201758491,4819,2241,1287,1496,4639,1554,5204,3674,263,837,2574,2376,257,614,1505,1338,389,587,362,2058,1392,499,167,19850,487,20337,19500,837,236,19500,433,10,5,19,0,8,0,180,182,173,236,27370,21,206,,,,,,,,,,,,,,,,,,,2018
Greater Grand Crossing,32461,8759,7099,5931,6334,2221,1325,792,36.00839199,431,387,31301,5,337,31919,25501,14357,10929,3428,11144,463,9973,4983,721,3975,229,65,N/A,4702,5204,1782,451,20955,3208,6402,6363,1750,2221,1011,5606,3030,1758,966,525,254,27723.26675,12139,4006,8133,3450,15589,4555,253,3952,2485,4333,5.62496937,346,1406,4873,8964,,3066,5796,4497,1713,517,2435,1443,35,84,120646.6763,9334,Health Care,Administration,Education,Retail Trade,Accommodation and Food Service,1972,995,984,917,841,3321,Health Care,Education,Retail Trade,Accommodation and Food Service,Wholesale Trade,811,702,454,328,296,Outside of Chicago,The Loop,Near North Side,Near West Side,Near South Side,2997,1683,770,553,197,Outside of Chicago,Greater Grand Crossing,South Shore,Auburn Gresham,Chatham,1186,181,133,111,89,,,,,,,,,,,,,,,,10175,,,,,,,,,,1.348821508,2269.356472,375.5309915,0.165479067,327.6659895,0.144387184,21.2105906,0.009346522,81.69968422,0.036001256,255.3135631,0.11250483,41.08107122,0.01810252,992.3470063,0.437281237,n/a,n/a,34.78453036,0.015327927,139.7230453,0.061569457,4355,3440,2085,2259,7043,2452,5096,3592,73,216,3303,3958,579,1050,2329,1717,1009,440,268,1711,1342,299,70,29659,530,30189,29237,952,417,29237,482,6,5,0,0,1,0,155,303,146,276,37779,26,392,,,,,,,,,,,,,,,,,,,2018
Hegewisch,9182,2027,1791,1547,2499,600,563,155,42.44791667,4114,4604,447,0,17,9162,7558,4568,4277,291,2990,3,4274,3054,420,708,91,0,N/A,434,1415,1379,355,6716,1004,2394,1673,473,750,422,930,661,563,558,539,331,58333.33333,3583,2673,909,312,3895,2787,17,642,129,139,5.870163371,207,696,1764,1229,,341,1085,1873,437,159,1616,975,72,10,132341.7722,3666,Education,Health Care,Manufacturing,Retail Trade,Public Administration,437,390,375,375,361,2451,Manufacturing,Wholesale Trade,Retail Trade,Accommodation and Food Service,Finance,1091,547,273,118,89,Outside of Chicago,The Loop,Near North Side,Near West Side,Hegewisch,1625,790,185,124,113,Outside of Chicago,East Side,Hegewisch,South Deering,South Chicago,1622,182,113,41,36,,,,,,,,,,,,,,,,15989,,,,,,,,,,2.96392943,3350.912518,374.4685393,0.111751213,34.06545333,0.010166023,6.81290548,0.002033149,48.01465851,0.014328831,17.41745767,0.005197825,301.3562005,0.089932578,1562.028084,0.466150064,n/a,n/a,579.7949938,0.173026001,426.9542249,0.127414316,1095,1295,347,847,2278,204,1305,709,52,86,571,714,197,243,273,563,423,98,42,1413,1218,191,3,7579,1218,8797,5693,3105,959,5693,2697,194,12,0,78,0,0,123,0,6553,2820,130,32,246,,,,,,,,,,,,,,,,,,,2018
Hermosa,24450,7207,6019,4912,4045,1322,686,259,32.37545884,1900,21321,502,384,343,24439,18588,12812,11721,1091,5776,304,11258,7017,1303,2165,557,216,N/A,1247,2746,2008,981,15061,6185,3712,2520,809,1222,613,2046,2161,1033,836,625,281,39289.27681,6982,2959,4023,792,7774,2327,102,2396,1973,968,5.765820234,83,624,1824,5243,,1061,3109,2493,741,370,519,1902,468,70,219250.3639,7790,Manufacturing,Health Care,Retail Trade,Accommodation and Food Service,Administration,1043,925,883,832,756,3288,Manufacturing,Health Care,Retail Trade,Wholesale Trade,Other Service,2230,190,161,117,111,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,3243,878,501,328,271,Outside of Chicago,Belmont Cragin,Hermosa,Humboldt Park,Logan Square,1484,216,173,111,107,,,,,,,,,,,,,,,,13257,,,,,,,,,,0.704651509,748.4402995,166.9863199,0.223112411,146.3300895,0.195513376,14.40879035,0.019251756,26.35219029,0.035209475,19.07340295,0.025484201,111.6491667,0.149175782,245.5507034,0.32808322,n/a,n/a,15.52678082,0.020745517,2.562855695,0.003424262,1381,1588,1111,2902,5208,903,1774,1496,0,0,1496,2623,147,555,1921,1033,291,325,417,1742,1109,537,96,13864,8557,22421,3677,18744,8632,3677,17949,408,0,130,0,31,80,146,0,3086,22574,649,319,280,,,,,,,,,,,,,,,,,,,2018
Humboldt Park,56248,18686,14091,10569,8283,2875,1389,355,29.92491166,3258,30847,20912,305,926,55870,40938,24990,21325,3665,15948,452,20525,11123,2495,5202,1084,621,N/A,4421,7189,3761,1166,32584,9743,10490,6241,1570,3298,1242,6226,4513,2464,1778,1038,518,34806.79702,16537,6050,10487,2981,19518,4041,262,6639,5355,3204,5.687120061,857,1517,3712,13432,,2670,7939,6448,1706,755,2591,2645,604,203,163710.1911,17329,Health Care,Retail Trade,Administration,Accommodation and Food Service,Manufacturing,2597,2150,1974,1864,1733,9804,Manufacturing,Retail Trade,Administration,Health Care,Wholesale Trade,1730,1192,1166,1059,831,Outside of Chicago,The Loop,Near North Side,Near West Side,West Town,6936,2048,1254,957,888,Outside of Chicago,Humboldt Park,Austin,West Town,Logan Square,3993,432,345,344,332,,,,,,,,,,,,,,,,10502,,,,,,,,,,1.892664065,2306.723522,281.8764624,0.122197767,425.7525553,0.184570258,38.52429918,0.016700874,136.1802948,0.059036245,103.1583743,0.044720736,322.0904123,0.13963113,826.4534883,0.358280254,n/a,n/a,18.49254117,0.0080168,154.1950944,0.066845937,3892,3796,2692,6157,11661,3431,4876,4072,108,200,3764,5618,601,1138,3879,2454,956,829,669,3334,2479,615,240,41374,9980,51354,25928,25426,10609,25928,24694,207,15,152,33,25,89,167,44,2184,31607,31207,239,599,,,,,,,,,,,,,,,,,,,2018
Hyde Park,26573,5514,9378,4159,4004,2031,1072,415,31.32103575,12539,2101,7621,3249,1063,23801,23529,14079,13134,939,9450,869,11834,3297,509,3452,4396,180,N/A,4616,6076,1629,208,17011,583,1209,2036,523,4563,8097,3756,2358,2312,1161,1283,1659,51482.75862,12529,4479,8050,1675,14204,829,1009,206,1100,11019,4.645078668,226,2406,3415,8157,,6360,3446,2557,1359,482,1167,1401,998,834,259111.1111,11144,Education,Health Care,Accommodation and Food Service,Professional,Retail Trade,3672,1176,855,833,756,17728,Education,Accommodation and Food Service,Health Care,Retail Trade,Real Estate,12971,1291,1263,795,481,Outside of Chicago,Hyde Park,The Loop,Near North Side,Near West Side,3063,3010,1955,724,503,Outside of Chicago,Hyde Park,Kenwood,Lake View,West Town,5670,3010,776,587,449,,,,,,,,,,,,,,,,8085,,,,,,,,,,15.58916719,1032.261867,98.59258681,0.095511217,177.606989,0.172056137,6.437151973,0.006235968,39.94915685,0.038700603,174.9236553,0.169456667,n/a,n/a,251.5009976,0.243640694,n/a,n/a,278.7021513,0.269991715,4.549177794,0.004407,6567,3369,1430,1163,4538,695,7991,2520,11,63,2446,2897,220,592,2085,2308,743,928,637,4059,2770,956,333,20419,5034,25453,19142,6311,1464,19142,1768,290,1539,125,180,207,539,1207,456,13020,1230,11290,3366,1014,,,,,,,,,,,,,,,,,,,2018
